mother [ˈmʌðər] - мать
father [ˈfɑːðər] - отец
sister [ˈsɪstər] - сестра
brother [ˈbrʌðər] - брат
grandmother [ˈɡrænmʌðər] - бабушка
grandfather [ˈɡrænfɑːðər] - дедушка
aunt [ænt] - тётя
uncle [ˈʌŋkəl] - дядя
cousin [ˈkʌzən] - кузен/кузина
niece [niːs] - племянница
nephew [ˈnefjuː] - племянник
son [sʌn] - сын
daughter [ˈdɔːtər] - дочь
family [ˈfæməli] - семья
friend [frend] - друг
best friend [best frend] - лучший друг
neighbor [ˈneɪbər] - сосед
relative [ˈrelətɪv] - родственник
husband [ˈhʌzbənd] - муж
wife [waɪf] - жена
parent [ˈperənt] - родитель
child [tʃaɪld] - ребёнок
baby [ˈbeɪbi] - малыш
classmate [ˈklæsmeɪt] - одноклассник/одноклассница
partner [ˈpɑːrtnər] - партнёр
colleague [ˈkɑːliːɡ] - коллега
acquaintance [əˈkweɪntəns] - знакомый
companion [kəmˈpænjən] - спутник
boyfriend [ˈbɔɪfrend] - парень
girlfriend [ˈɡɜːrlfrend] - девушка
spouse [spaʊs] - супруг(а)
in-law [ɪn lɔː] - родственник по браку
stepmother [ˈstepmʌðər] - мачеха
stepfather [ˈstepfɑːðər] - отчим
stepsister [ˈstepsɪstər] - сводная сестра
stepbrother [ˈstepbrʌðər] - сводный брат
close [kloʊs] - близкий
loving [ˈlʌvɪŋ] - любящий
caring [ˈkerɪŋ] - заботливый
supportive [səˈpɔːrtɪv] - поддерживающий
friendly [ˈfrendli] - дружелюбный
kind [kaɪnd] - добрый
fun [fʌn] - весёлый
warm [wɔːrm] - тёплый
happy [ˈhæpi] - счастливый
serious [ˈsɪriəs] - серьёзный
funny [ˈfʌni] - смешной
smart [smɑːrt] - умный
shy [ʃaɪ] - застенчивый
outgoing [ˈaʊtɡoʊɪŋ] - общительный
gentle [ˈdʒentəl] - нежный
trustworthy [ˈtrʌstwɜːrði] - надёжный
respectful [rɪˈspektfəl] - уважительный
sibling [ˈsɪblɪŋ] - брат или сестра
kin [kɪn] - родня
descendant [dɪˈsendənt] - потомок
ancestor [ˈænsestər] - предок
family tree [ˈfæməli triː] - родословная
reunion [riːˈjuːnjən] - встреча
close-knit [kloʊs nɪt] - сплочённый
united [juˈnaɪtəd] - единый
traditional [trəˈdɪʃənəl] - традиционный
familiar [fəˈmɪljər] - знакомый
reliable [rɪˈlaɪəbəl] - надёжный
neighborly [ˈneɪbərli] - соседский
affectionate [əˈfekʃənət] - ласковый
considerate [kənˈsɪdərət] - внимательный
cheerful [ˈtʃɪrfəl] - жизнерадостный
generation [ˌdʒenəˈreɪʃən] - поколение
bond [bɑːnd] - связь
